date,LBATH,RMS_TH,RINT_TH,RINT_IPI
1-Nov-18,0.0060,0.0125,-0.0032,0.0355
1-Dec-18,-0.0082,0.0320,0.0381,0.1295
1-Jan-19,-0.0275,-0.0242,0.0063,-0.0500
1-Feb-19,-0.0160,0.0099,-0.0032,-0.0092
1-Mar-19,0.0134,0.0341,0.1209,0.2050
1-Apr-19,0.0041,-0.0153,-0.0462,-0.2229
1-May-19,-0.0020,0.0170,0.1072,-0.0216
1-Jun-19,-0.0213,-0.0289,-0.0238,-0.0336
1-Jul-19,-0.0107,-0.0285,-0.1422,0.0366
1-Aug-19,-0.0008,0.0148,0.0587,-0.0360
1-Sep-19,-0.0064,0.0006,-0.0954,0.0317
1-Oct-19,-0.0067,-0.0102,0.0344,0.0424
1-Nov-19,-0.0040,0.0123,-0.0120,-0.0340
1-Dec-19,-0.0007,0.0117,-0.1668,0.0433
1-Jan-20,0.0071,-0.0158,0.1218,-0.0039
1-Feb-20,0.0291,0.0163,0.0537,-0.0687
1-Mar-20,0.0242,-0.0195,0.9037,-0.0236
1-Apr-20,0.0163,-0.0878,-0.2126,0.0824
1-May-20,-0.0184,0.2038,-0.0415,0.0175
1-Jun-20,-0.0279,-0.0390,0.0326,0.0497
1-Jul-20,0.0083,-0.0087,0.2193,0.0251
1-Aug-20,-0.0064,-0.0084,-0.0996,-0.0130
1-Sep-20,0.0045,-0.0299,-0.0473,-0.0295
1-Oct-20,-0.0028,-0.0035,-0.2301,-0.0297
1-Nov-20,-0.0257,-0.0459,0.0150,-0.0245
1-Dec-20,-0.0126,-0.0866,-0.2245,-0.0808
1-Jan-21,-0.0029,-0.0277,-0.1063,-0.0247
1-Feb-21,-0.0007,-0.0171,0.0403,0.0720
1-Mar-21,0.0264,-0.0187,-0.1487,-0.0801
1-Apr-21,0.0177,-0.0044,-0.0042,0.0773
1-May-21,-0.0013,-0.0497,0.1035,0.0091
1-Jun-21,0.0044,-0.0451,-0.0205,0.0266
1-Jul-21,0.0366,-0.0007,0.1620,-0.0434
1-Aug-21,0.0155,0.0033,-0.0661,-0.0081
1-Sep-21,-0.0025,0.0120,0.0180,0.0282
1-Oct-21,0.0134,-0.0001,0.0258,-0.0109
1-Nov-21,-0.0116,-0.0067,0.0139,0.0256
1-Dec-21,0.0141,0.0178,0.0036,0.0365
