date,BAHT,RMS_TH,RINT_TH,RINT_IPI
2019-06-01,31.1251,-0.00251,0.00521,-0.00706
2019-07-01,30.7927,-0.00239,-0.0003,0.00776
2019-08-01,30.768,0.00103,0.00165,-0.0076
2019-09-01,30.5704,-0.00055,-0.0018,0.00673
2019-10-01,30.3665,-0.00121,0.00255,0.00896
2019-11-01,30.2439,0.00045,-0.00068,-0.00714
2019-12-01,30.2228,7e-05,-0.00525,0.00912
2020-01-01,30.4396,-0.00118,0.00043,-0.00078
2020-02-01,31.3392,0.001,0.00266,-0.01438
2020-03-01,32.1078,-0.00451,0.01494,-0.00481
2020-04-01,32.6341,-0.01159,0.01902,0.01822
2020-05-01,32.0391,0.02221,0.00499,0.00365
2020-06-01,31.1561,-0.00358,-0.00455,0.01022
2020-07-01,31.4171,-0.00134,0.00524,0.00487
2020-08-01,31.2168,-0.00093,0.00777,-0.00282
2020-09-01,31.3565,-0.00369,0.00914,-0.00611
2020-10-01,31.2689,-0.00095,0.00487,-0.00633
2020-11-01,30.4766,-0.00607,0.00477,-0.0052
2020-12-01,30.0944,-0.01136,0.00192,-0.01716
2021-01-01,30.006,-0.00348,0.00484,-0.00533
2021-02-01,29.9857,-0.00361,0.01702,0.01556
2021-03-01,30.7894,-0.0019,0.00512,-0.01724
2021-04-01,31.3406,-0.00055,-0.00516,0.01666
2021-05-01,31.2993,-0.00648,0.01906,0.0019
2021-06-01,31.4383,-0.00416,0.00699,0.00558
2021-07-01,32.6109,-0.00105,0.00965,-0.00915
2021-08-01,33.119,-0.00061,0.0067,-0.00172
2021-09-01,33.0368,0.00086,-0.00926,0.00603
2021-10-01,33.4816,-0.00098,0.00519,-0.00237
2021-11-01,33.0958,-0.00093,0.00631,0.00536
2021-12-01,33.5647,0.00085,0.01127,0.00768
